;;;;;exact place in the cave not specified;;;;;;cave entrance (ulaz);;;;;;deep cave;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;
Kornati;Jama pod Velim vrhom;Veli vrh, o. Levrnaka, Kornati;27.4.2017.;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kornati;Jama pod Velim vrhom;o. Levernaka, NP Kornati;7.10.2017.;;19,7;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kornati;Jama pod Velim vrhom;o. Levrnaka, NP Kornati;17.4.2018.;;15,6;13,6;;;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1DNEVNIK LASTOVO 2007_cor karko;Jama pod Velji vrh;Velji vrh, Lastovo;30.9.2007.;;;;;;;;20;;;;95;ispod ulaza;;;;;;;17,0;;;;95;kod vertikale s CO2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1dnevnik_lastovo_03_2008_fin;Jama pod Velji vrh;Velji vrh, Lastovo;2.3.2008.;;;;;;;;;;;;;;;;;;;;16,6;;16,8;;99;Kod lokvice ;16,1;16,8;;;93;Dno, kod grede i špage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Mosor-Biokovo_dnevnik terena A2_27.04.-01.05.2012;JAMA POD VOŠCEM;Vošac, Makarska, Biokovo;30.4.2012.;;6,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;Jama pod Vošcem;voša?, Biokovo;15.7.2008.;;7,7;;;8,4;97,4;8,4 is not Kestrel po drugom temometru;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Hvar 2011. 03;Jama podarjuša;Poljice, Zastražiš?e, Jelsa, o. Hvar;5.5.2011.;;13,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vrgorac-Neretva-Metkovic;Jama pola fiksa;An?i?a staje , Baleti?i;30.4.2018.;;11,5;;;;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;"JAMA POSLI KONOPA (Sinonim: Lovricia 3 jama
,   x = 4799,626; y = 6424,053)";Sv. Jure;28.10.2006.;;;;;;;;;;;;;;;;;;;;2,0;;;;;na polici;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Papuk;jama Potok;Jarcoder, Jankovac, Slatinski Drenovac, Papuk;23.9.2010.;;12,7;10,1;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Zrmanja_dnevnik terena_01.05.-07.05.2010;Jama Rastova?a;Velika Glava, Rastovac, Obrovac, Velebit;4.5.2010.;;10,7;;;;;unutrašnjost;10,1;;;;;ulaz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Zrmanja-dnevnik terena_27.9.-3.10.2010;Jama Rastova?a;Velika Glava, Rastovac, Obrovac, Velebit;2.10.2010.;;12,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Jama Rudina;Groma?a;27.3.2008.;;9,9;10,2;;10,6;98,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dugi otok;Jama s vodom kraj sela Luka;Luka;11.5.2017.;;12,5;12,4;13,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vrgorac-Neretva-Metkovic;Jama s vodom u Krvavcu;Krvavac, Metkovi?;23.10.2016.;;15,8;;;17;98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1dnevnik_lastovo_03_2008_fin;jama sa smokvom;skrivena luka, Lastovo;5.3.2008.;;;;;;;;;;;;;;;;;;;;19,4;;;;;u gornjoj polušpilji;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena_Kornati_062015_BJ_finalno;Jama Šaverja;vrh od Lu?ice, otok Kornat;23.6.2015.;;;;16,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1DNEVNIK_Ucka_travanj2009_fin;Jama SD 2;Mahenac, ?i?arija;24.4.2009.;;5,6;5,5;;6,2;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1DNEVNIK UCKA LIPANJ 2009;Jama SDB;Golubine, Korita, ?i?arija;26.6.2009.;;5,3;;;5,4;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Papuk;Jama Suhodolka;Suhodol, Jankovac, Velika, Papuk,;23.9.2010.;;8,8;;7,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;Jama u Bratuš;;24.6.2007.;;;;;;;;;;;;;;14,9;14,1;;;99;na dnu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;JAMA U BRATUŠU;Bratuš;20.10.2005.;;13,8;13,7;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;JAMA U BRATUŠU;Bratuš;27.10.2006.;;;;;;;;12,1;;;;;pod ulazom;12,5;;;;;na kraju;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;JAMA U ?IKEŠIMA;?ikeši, Zagvozd;23.11.2005.;;12,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dugi otok;Jama u ?uš?ici;PP Telaš?ica;9.5.2017.;;14,8;14,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dnevnik terena Paklenica 2021_8 mjesec_final2;Jama u Debelom brdu;Debelo brdo, južni Velebit;24.8.2021.;;;;;;;;;;;;;;;;;;;;7,7;;;;88,7;"na dnu druge vertikale; kestrel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1DNEVNIK_Ucka_travanj2009_fin;Jama u Debelom bregu;Lugarnica Pilarna, ?i?arija;25.4.2009.;;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;JAMA U DOVNJU;Dubci, Omiška Dinara;23.5.2004.;;11,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;JAMA U DOVNJU;Dubci, Omiška Dinara;16.11.2005.;;12,8;;12,2;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;JAMA U DRA?EVO POLJE;Plisko polje, Vis;4.10.2005.;;15,4;15,2;;;97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Jama u Grudama;Zagrude, Oskorušno;23.4.2019.;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Jama u Grudama;Zagruda, Oskorušno;24.4.2019.;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Izvještaj Dinara.0;Jama u Klekovim Glavicama;Troglav, Dinara;26.7.2012.;;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1DNEVNIK_TERENA_UCKA 2008_studenti_final;Jama u krogu;Korita, Brgudac, U?KA;12.9.2008.;;;;;;;;;;;;;;2,5;;2,5;;;najdublji dio;2,4;;;;;kod špage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Jama u Ku?inama;Vukasi, Ponikve, Ston;15.11.2018.;;;;;;;;9,8;;;;;ulaz;;;;;;;10,6;;;10,5;91;dno kosine termohigro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Jama u Ku?inama;Vukasi, Ponikve, Ston;29.3.2019.;;;;;;;;;;;;;;6,6;;;;89;dno termo-hidro, ext, možda je stajao prekratko;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dugi otok;Jama u lu?ici;PP Telaš?ica;8.5.2017.;;13;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Jama u Pisanom dolcu;Vukasi, Ponikve, Ston;15.11.2018.;;;;;;;;13;;;;;ulaz;;;;;;;;;13;;;jezerce s Niphargusima;13;;;13,2;96;Kod saljeva;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Jama u Pisanom dolcu;Vukasi, Ponikve, Ston;29.3.2019.;;;;;;;;;;;;;;;;;;;;12;;;;93;dvorana, termo-hidro, ext;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Jama u Pisanom dolcu;Pisani dolac, Vukasi, Ponikve, Ston;27.4.2019.;;12,8 - 13,2;;;13,6;92;termohigro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Jama u Potkala?u;Potkala?e, Donja Vru?ica;22.4.2019.;;;;;;;;;;;;;;12,8;12,5;;;86;dno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023_09_Dnevnik terena Marifugia;Jama u Predolcu;Predolac, Metkovi?;14.9.2023.;;;;18,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vrgorac-Neretva-Metkovic;Jama u Predolcu;, Predolac, Metkovi?;20.6.2010.;;;;16,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vrgorac-Neretva-Metkovic;Jama u Predolcu;Predolac, Metkovi?;23.6.2010.;;14,1;13,4;;14,7;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Jama u priroju;Žalina, Mokalo;24.4.2019.;;;;;;;;;;;;;;;;;;;;12,3;12;;;92;velika dvorana;13,3;12;;;91;dvorana na dnu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Jama u Prvac dolu;Vinošte, Trpanj, Pelješac;18.11.2018.;;;;;;;;;;;;;;12,7;;;12;69;dno termohigro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Jama u šumi uvale Bjejajka;uvala Bjejajka, Soline;9.1.2008.;;10,8;;11,2;;;na površini;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Jama u šumi uvale Bjejajka;uvala Bjejajka, Soline, o.Mljet;4.4.2015.;;12,2;;12,2;12,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;JAMA U ŠUMI UVALE BJEJAJKA;uvala Bjejajka, Soline, o. Mljet;19.10.2015.;;15,4;;15,3;17;97,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Jama u šumi uvale Bjejajka;Soline, uvala Bjejajka, Mljet;23.10.2022.;;15,6;15,6;15,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Jama u Velikom Desajdubu;(jel veliko i V i D?),;8.4.2007.;;11,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1DNEVNIK_Ucka_travanj2009_fin;Jama u Velim Sapcima 3,;Vela Sapca, ?i?arija;26.4.2009.;;7,6;7,6;;8,8;97,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1DNEVNIK_Ucka_travanj2009_fin;Jama u Vetvi;Vetva, Veprinac, ?i?arija;26.4.2009.;;9,6;9,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena_Kornati_062015_BJ_finalno;Jama u Vode;otok Smokvica;26.6.2015.;;;;15,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kornati;Jama u Vode (Bunar jama na Smokvici);o. Smokvica Vela, Kornati;5.10.2017.;;18,8;17,4;16,9;;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dnevnik terena Paklenica 2021_8 mjesec_final2;Jama u Vratima;Debelo brdo, južni Velebit;24.8.2021.;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1DNEVNIK TERENA LEPTODIRUS, 19_06-23_06_2014.;Jama u Vrloj strani;Radatovi?i;20.6.2014.;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1DNEVNIK TERENA LEPTODIRUS, 27_06-29_06_2014.;Jama u Vrloj strani;Gudalji, Radatovi?i;29.6.2014.;;7,8;;;8,7;98,9 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Jama u Zabira?u;Osojnik;30.3.2008.;;11,9;;;12,5;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Jama u Zadubravici;Ri?ice;31.3.2008.;;;;;;;;;;;;;;;;;;;;9,2;8,7;;;100;Dno isto?nog kanala;10,6;10,3;;;100;Dno zapadnog kanala;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1DNEVNIK KORNATI 2009. (word 2003.) End;JAMA VANJA TAXI;MJESTO KRAVLJA?ICA, NP KORANATI;29.9.2009.;;17,9;16,3;;;98,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Jama Veja gora;Veja gora, Pola?e, o. Mljet;11.4.2015.;;12,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena_29.11.-5.12.2009._Leptomeson&Anthroherpon;Jama Velika;Selo Gora?i?, Mala žaba;2.12.2009.;;10, 9;;10, 9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lastovo;Jama više Kru?ice;Kru?ica, Lastovo;2.4.2025.;;12,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Jama više vinograda;Dubovo brdo, Oskorušno;23.4.2019.;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Jama više vodospreme;Draginjac, Oskorušno;23.4.2019.;;13;13,2;;;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HBSD neprojektni dnevnici 2020-2023;Jama Vjetrova;Crnopac;29.7.2020.;;;;;;;;;;;;;;;;;;;;3;;3,3;;;na dnu ulazne vertikale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1DNEVNIK KORNATI 2009. (word 2003.) End;JAMA VJETRUŠA;OTOK GUSTAC, NP KORNATI;28.9.2009.;;;;;;;;19,4;17,5;;;95,8;ulaz;;;;;;;16,1;15,2;;;99,9;Dvorana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Jama Vratlo;X=4729, 576 Y=6501,919 Z=227;3.4.2007.;;16,8;16,2;;;;dno;;;;;;;;;;;;;;;;;100;prva dvorana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Jama Vratlo;;3.4.2007.;;;;;;;;;;;;;;16,8;16,2;;;;dno;;;;;100;prva dvorana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;JAMA VRTARE MALE;Dramalj, Crikvenica;7.10.2005.;;13,4;13,1;13,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;Jama za Mahrincem;pu?iš?a;5.1.2009;;9,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;JAMA ZA SUPINOM;Troje gomile, Šoši?i;18.11.2005.;;10,1;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;JAMA ZA SUPINOM;Troje gomile, Šoši?i;3.4.2006.;;9,4-9,6;;9,5;;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;Jama za Supinom;Podgora, Biokovo;17.6.2017.;;;;;;;;;;;;;;;;;;;;11,4;10,2;;;81;prva polica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Biokovo 10 mj 2014;Jama za Supinom (sinonim Jama dvije sise);Troje gomile, Šoši?i, Biokovo;14.10.2014.;;;;;;;;;;;;;;11,4;;;;93;na dnu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Jama za Sv. Ilijom;Sv Ilija, Babino Polje;2.5.2008.;;12,6;;;12,5;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Jama za Sv. Ilijom;Sv Ilija, Babino Polje;2.5.2008.;;12,6;;;12,5;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Jama za Sv. Ilijom;Sv. Ilija, Babino Polje, o. Mljet;10.4.2015.;;12,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Jama za Sv. Ivanom;Babino polje;30.4.2008.;;15,5;15;;15,3;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Jama za Sv. Ivanom;Babino polje;30.4.2008.;;15,5;15,0;;15,3;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Jama za Sv. Spasom;Babino polje;3.5.2008.;;13,5;13;;13,2;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Jama za Sv. Spasom;Babino polje;3.5.2008.;;13,5;13,0;;13,2;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Jama za Vratlom (Aragonka);x= 4729,905 y= 6501, 994 z=306 m;8.7.2006.;;14,9;;14,8;15,4;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Jama za Vratlom (Aragonka);x= 4729,905 y= 6501, 994 z=306 m;8.6.2006.;;14,9;;14,8;15,4;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik istrazivanja Dubrovnik 08_2014_fin;Jama Zadubravica;Ri?ica (-108m);23.8.2014.;;;;;;;;23,1;;;;72,5;Ulaz (1. sidrište)/14.45;;;;;;;11,6;;;;93,8;Dno/12.15;11,3;;;;96,6;Prvo dno/13.30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;Jama Ze?ica;;6.28.2006.;;;;;;;;12,1;;;;;pod ulazom;12,5;;;;;na kraju (jana – piše u tekicu u korduri);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;Jama Ze?ica;;24.6.2007.;;;;;;;;;;;;;;;;;;;;8;8;7,9(8,1);8,3;;dno vertikale;5,8;;;;;Dno ulazne vertikale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Hvar 2011. 03;Jama Živa voda;Uvala Kozja, Zaglav, Bogomolje, o. Hvar;4.5.2011.;;;;13,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena_19.02.-21.02.2010_Leptomeson 1;Jama Zveka?a;Perkovi?, Šibenik;19.2.2010.;;13, 5;;13, 2;;98,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1DNEVNIK_Ucka_travanj2009_fin;Jame na Zaluki (Lade DOl);Zaluka, Brložnik, Veprinac, ?i?arija;22.4.2009.;;1,3;1,3;;1,6;93,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;JAMINA;Nevistine stine, Brela;28.102003.;;;;;;;;;;;;;;10,8;;;;100;Dno jame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;JAMINA;Nevistine stine, Brela;24.3.2004.;;;;;;;;;;;;;;8,9ºC (9,1, 9,3);;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;JAMINA;Nevistine stine, Brela;22.11.2005.;;9,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;JAMINA;Nevistine stine, Brela;26.10.2006.;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rab;Jamina izvor;x= 4964117, y= 5478979 (nepotrebno, ve? je navedeno);22.5.2010.;;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rab;Jamina izvor;x= 4964117, y= 5478979 (nepotrebno, ve? je navedeno);23.5.2010.;;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
